run_id,num_atoms,resolution,block_size,algorithm,time_ms,speedup
1,10000,100.000000,32,CPU,509.368,1.0
1,10000,100.000000,32,GRID_2D,18.561,27.443
1,10000,100.000000,32,SHARED_MEM,18.828,27.053
1,10000,100.000000,32,OUTPUT_PRIV,7.024,72.522
2,10000,100.000000,64,CPU,509.097,1.0
2,10000,100.000000,64,GRID_2D,17.740,28.698
2,10000,100.000000,64,SHARED_MEM,18.954,26.859
2,10000,100.000000,64,OUTPUT_PRIV,7.160,71.105
3,10000,100.000000,128,CPU,509.337,1.0
3,10000,100.000000,128,GRID_2D,17.842,28.547
3,10000,100.000000,128,SHARED_MEM,18.810,27.078
3,10000,100.000000,128,OUTPUT_PRIV,7.295,69.820
4,10000,100.000000,256,CPU,509.092,1.0
4,10000,100.000000,256,GRID_2D,17.669,28.813
4,10000,100.000000,256,SHARED_MEM,19.021,26.765
4,10000,100.000000,256,OUTPUT_PRIV,7.870,64.684
5,10000,200.000000,32,CPU,507.468,1.0
5,10000,200.000000,32,GRID_2D,18.295,27.738
5,10000,200.000000,32,SHARED_MEM,18.072,28.081
5,10000,200.000000,32,OUTPUT_PRIV,7.092,71.553
6,10000,200.000000,64,CPU,507.319,1.0
6,10000,200.000000,64,GRID_2D,17.185,29.521
6,10000,200.000000,64,SHARED_MEM,18.222,27.841
6,10000,200.000000,64,OUTPUT_PRIV,7.321,69.300
7,10000,200.000000,128,CPU,504.579,1.0
7,10000,200.000000,128,GRID_2D,17.343,29.093
7,10000,200.000000,128,SHARED_MEM,18.235,27.670
7,10000,200.000000,128,OUTPUT_PRIV,7.610,66.302
8,10000,200.000000,256,CPU,506.694,1.0
8,10000,200.000000,256,GRID_2D,17.096,29.639
8,10000,200.000000,256,SHARED_MEM,18.354,27.606
8,10000,200.000000,256,OUTPUT_PRIV,8.570,59.125
9,10000,500.000000,32,CPU,504.211,1.0
9,10000,500.000000,32,GRID_2D,19.149,26.331
9,10000,500.000000,32,SHARED_MEM,19.069,26.441
9,10000,500.000000,32,OUTPUT_PRIV,7.399,68.142
10,10000,500.000000,64,CPU,505.880,1.0
10,10000,500.000000,64,GRID_2D,17.805,28.412
10,10000,500.000000,64,SHARED_MEM,19.149,26.418
10,10000,500.000000,64,OUTPUT_PRIV,7.879,64.209
11,10000,500.000000,128,CPU,505.772,1.0
11,10000,500.000000,128,GRID_2D,18.023,28.062
11,10000,500.000000,128,SHARED_MEM,19.027,26.582
